Dataset 0,,Dataset 10,,Dataset 20,,Dataset 30,,Dataset 40,,Dataset 50,,Dataset 60,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
60.82332032339303,0.8243753233825348,60.82163435211816,0.8101710153918,60.85287979802734,0.7808746301609091,60.84926503896248,0.7504202850394692,60.84474773549232,0.7123620033034239,,,,
61.20484004598639,0.8207470490588146,61.20323654069779,0.8072375170024091,61.234481986606966,0.7779411317715182,61.23081683166161,0.7470622013568771,61.22634076118459,0.7093513075879965,,,,
61.58640100157288,0.817466162702259,61.58476084473483,0.803647841341707,61.61604752363715,0.774698844077981,61.61244192745965,0.7443216962825776,61.60797501987,0.7066879998397337,,,,
61.96787032828574,0.8134133030853372,61.96634928898342,0.8005985469632613,61.99766345654782,0.771881141677645,61.9940395345956,0.7413495992301684,61.989604697111716,0.7039860934284526,,,,
62.34941753954119,0.8100166207397268,62.34791024456992,0.7973176606067056,62.37922441213432,0.7686002553210893,62.375559257188954,0.737721324906448,62.37115190836717,0.7005894110828421,,,,
62.730923517803504,0.8062725504269515,62.72942996716327,0.7936893862829852,62.76076704194608,0.7651649743124604,62.757156864324905,0.7347492278540388,62.752754096946795,0.6976559126934512,,,,
63.11241575173477,0.8024126841251213,63.111004667080806,0.7905242959154846,63.14236006763835,0.762154278597033,63.138694912693,0.7312753481823917,63.13432879686434,0.6944908223259505,,,,
63.4939446372155,0.7988616071274377,63.49252438967417,0.7868960215917642,63.52388437167539,0.7585646029363309,63.52020089095531,0.7275312778696165,63.51585768234506,0.6909397453282666,,,,
63.875395638153634,0.7946543528584428,63.87406243804226,0.783422141920117,63.90540409426875,0.7549363286126105,63.901752683654436,0.7241731941870242,63.89744612659364,0.6878904509498209,,,,
64.25692452363435,0.791103275860759,64.2556371379598,0.7802570515526164,64.28694214263683,0.7514624489409634,64.28323575469834,0.7202361305591576,64.27899791929278,0.6845323672672287,,,,
64.63838010601617,0.7869346202547824,64.63710188322898,0.7761655932726763,64.66842521368073,0.7475253853130966,64.66476005873538,0.7166464548984555,64.66048557178036,0.6806339023023802,,,,
65.01987233994744,0.7830747539529523,65.01861244293497,0.7724601216229194,65.04995409916147,0.7439743083154129,65.04624771122297,0.7127479899336071,65.04204652736686,0.6773530159458245,,,,
65.40136915532239,0.7792534863141405,65.40008635109152,0.7684458606690161,65.43144633309274,0.7401144420135828,65.42768496783006,0.7084249396755573,65.42350669119236,0.6732229590028662,,,,
65.7828293191479,0.7751234293711822,65.74911347290347,0.7653229875891916,65.8129431484677,0.7362931743747709,65.80919552753606,0.7047194680258003,65.8050309952294,0.6696332833421643,,,,
66.16433071596651,0.7713407603953887,66.16306623751038,0.7606875294023374,66.19445370817368,0.732587702725014,66.1905961325937,0.7000876284636042,66.18654613637908,0.6659664103554257,,,,
